Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,May precipitation,October precipitation,December maximum temperature,April precipitation
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,27
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,27
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,27
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,27
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,27
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,27
118,164,49,6073,295,-37,332,74,159,196,39,88,12,4,25,29,16,19,25,12,7,286,27
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,27
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,27
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,27
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,21
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,13
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,19
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,19
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,19
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,19
85,140,47,5557,243,-54,297,19,119,155,11,114,16,6,33,44,19,20,37,16,7,224,19
85,140,47,5557,243,-54,297,19,119,155,11,114,16,6,33,44,19,20,37,16,7,224,19
85,140,47,5557,243,-54,297,19,119,155,11,114,16,6,33,44,19,20,37,16,7,224,19
85,140,47,5557,243,-54,297,19,119,155,11,114,16,6,33,44,19,20,37,16,7,224,19
85,140,47,5557,243,-54,297,19,119,155,11,114,16,6,33,44,19,20,37,16,7,224,19
85,140,47,5557,243,-54,297,19,119,155,11,114,16,6,33,44,19,20,37,16,7,224,19
85,140,47,5557,243,-54,297,19,119,155,11,114,16,6,33,44,19,20,37,16,7,224,19
90,134,46,5479,239,-47,286,24,93,158,17,101,14,5,32,36,18,20,30,13,6,221,19
92,134,46,5467,240,-46,286,26,94,160,19,101,14,5,32,36,18,20,30,13,6,222,23
90,134,46,5479,239,-47,286,24,93,158,17,101,14,5,32,36,18,20,30,13,6,221,8
90,134,46,5479,239,-47,286,24,93,158,17,101,14,5,32,36,18,20,30,13,6,221,10
146,148,50,5139,298,3,295,201,79,211,79,608,103,7,70,290,24,280,24,18,59,290,10
112,127,40,6372,296,-14,310,185,34,197,34,479,73,20,34,176,76,146,76,40,36,271,10
143,140,47,5434,299,5,294,203,73,213,73,594,86,10,60,244,33,241,33,21,67,289,10
160,154,49,5589,311,1,310,218,86,228,86,348,74,7,79,202,23,176,23,14,19,310,10
160,154,49,5589,311,1,310,218,86,228,86,348,74,7,79,202,23,176,23,14,19,310,56
160,154,49,5589,311,1,310,218,86,228,86,348,74,7,79,202,23,176,23,14,19,310,73
