RecNo,PointNo,Lon_ext,Lat_ext,alt,tmin1,tmax1,prec1,tmin2,tmax2,prec2,tmin3,tmax3,March precipitation,tmin4,tmax4,April precipitation,tmin5,tmax5,May precipitation,tmin6,tmax6,prec6,tmin7,tmax7,prec7,tmin8,tmax8,prec8,tmin9,tmax9,September precipitation,tmin10,tmax10,October precipitation,tmin11,tmax11,November precipitation,tmin12,tmax12,prec12,Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,cov
13,13,-67.19999695,-37.40000153,256,14.6,33,33,13.4,31.8,29,10.8,28.9,36,6,22.9,24,3.2,18.3,16,0.6,14,16,0,14.6,11,0.6,17.2,10,3.7,20.7,18,7.2,24.1,41,10.8,28.7,32,13.6,31.6,33,15.42916667,16.775,50.83333333,617.3641121,33,0,33,19.33333333,7.833333333,23,7.833333333,299,41,10,41.96927685,106,37,95,37,12
14,14,-67.19999695,-37.40000153,256,14.6,33,33,13.4,31.8,29,10.8,28.9,36,6,22.9,24,3.2,18.3,16,0.6,14,16,0,14.6,11,0.6,17.2,10,3.7,20.7,18,7.2,24.1,41,10.8,28.7,32,13.6,31.6,33,15.42916667,16.775,50.83333333,617.3641121,33,0,33,19.33333333,7.833333333,23,7.833333333,299,41,10,41.96927685,106,37,95,37,12
15,15,-67.19999695,-37.40000153,256,14.6,33,33,13.4,31.8,29,10.8,28.9,36,6,22.9,24,3.2,18.3,16,0.6,14,16,0,14.6,11,0.6,17.2,10,3.7,20.7,18,7.2,24.1,41,10.8,28.7,32,13.6,31.6,33,15.42916667,16.775,50.83333333,617.3641121,33,0,33,19.33333333,7.833333333,23,7.833333333,299,41,10,41.96927685,106,37,95,37,2
16,16,-68.88330078,-38.16659927,221,14.7,31.8,14,13.5,31.1,9,10.5,27.6,11,6.8,21.9,14,4,17.3,19,1.5,13.6,14,0.5,13.6,12,1.4,15.9,12,4,19,10,7.6,23.5,16,11.1,27.8,8,13.7,31,11,15.14166667,15.4,49.20127796,604.7269607,31.8,0.5,31.3,10.85,21.68333333,22.63333333,7.75,150,19,8,24.71657523,47,33,34,38,19
17,17,-67.19999695,-37.40000153,256,14.6,33,33,13.4,31.8,29,10.8,28.9,36,6,22.9,24,3.2,18.3,16,0.6,14,16,0,14.6,11,0.6,17.2,10,3.7,20.7,18,7.2,24.1,41,10.8,28.7,32,13.6,31.6,33,15.42916667,16.775,50.83333333,617.3641121,33,0,33,19.33333333,7.833333333,23,7.833333333,299,41,10,41.96927685,106,37,95,37,14
18,18,-67.19999695,-37.40000153,256,14.6,33,33,13.4,31.8,29,10.8,28.9,36,6,22.9,24,3.2,18.3,16,0.6,14,16,0,14.6,11,0.6,17.2,10,3.7,20.7,18,7.2,24.1,41,10.8,28.7,32,13.6,31.6,33,15.42916667,16.775,50.83333333,617.3641121,33,0,33,19.33333333,7.833333333,23,7.833333333,299,41,10,41.96927685,106,37,95,37,14
19,19,-68.88330078,-38.16659927,221,14.7,31.8,14,13.5,31.1,9,10.5,27.6,11,6.8,21.9,14,4,17.3,19,1.5,13.6,14,0.5,13.6,12,1.4,15.9,12,4,19,10,7.6,23.5,16,11.1,27.8,8,13.7,31,11,15.14166667,15.4,49.20127796,604.7269607,31.8,0.5,31.3,10.85,21.68333333,22.63333333,7.75,150,19,8,24.71657523,47,33,34,38,14
20,20,-67.91670227,-30.08329964,1290,16.8,32,47,15.3,31,43,12.5,27.6,27,7.2,23.2,8,3.7,19.4,3,0.4,16.3,2,-0.3,16.7,3,1.8,18.7,4,4.9,21.8,4,9,25,9,12.6,28.9,18,15.6,30.9,26,16.29166667,16,49.53560372,597.7831521,32,-0.3,32.3,22.53333333,9.366666667,23.6,8.933333333,194,47,2,99.5589264,117,8,116,9,14
21,21,-69.25099945,-35.72200012,1365,10.7,28.3,20,10,27.5,23,7.7,24.2,23,3.4,19.6,15,0.5,15.2,17,-2,11.4,22,-2.6,11,26,-1.7,13.5,21,0.3,16.3,16,3.7,20.2,16,7,24.2,17,9.5,27.1,18,11.875,16,51.77993528,565.9926919,28.3,-2.6,30.9,4.933333333,11.95,18.85,4.933333333,234,26,15,17.96536025,69,49,61,69,14
22,22,-69.25099945,-35.72200012,1365,10.7,28.3,20,10,27.5,23,7.7,24.2,23,3.4,19.6,15,0.5,15.2,17,-2,11.4,22,-2.6,11,26,-1.7,13.5,21,0.3,16.3,16,3.7,20.2,16,7,24.2,17,9.5,27.1,18,11.875,16,51.77993528,565.9926919,28.3,-2.6,30.9,4.933333333,11.95,18.85,4.933333333,234,26,15,17.96536025,69,49,61,69,14
23,23,-69.25099945,-35.72200012,1365,10.7,28.3,20,10,27.5,23,7.7,24.2,23,3.4,19.6,15,0.5,15.2,17,-2,11.4,22,-2.6,11,26,-1.7,13.5,21,0.3,16.3,16,3.7,20.2,16,7,24.2,17,9.5,27.1,18,11.875,16,51.77993528,565.9926919,28.3,-2.6,30.9,4.933333333,11.95,18.85,4.933333333,234,26,15,17.96536025,69,49,61,69,14
24,24,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
25,25,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
26,26,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
27,27,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
28,28,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
29,29,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
30,30,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
31,31,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
32,32,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
33,33,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
34,34,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
35,35,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
36,36,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
37,37,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
38,38,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
39,39,-69.46659851,-35.68330002,1461,10.1,27.7,19,9.5,26.9,23,7.3,23.6,22,3.2,19.3,15,0.3,14.8,21,-2.1,11,29,-2.8,10.5,33,-1.9,13,25,-0.1,15.8,18,3.3,19.6,16,6.4,23.6,18,9,26.4,18,11.43333333,15.83333333,51.91256831,554.737175,27.7,-2.8,30.5,4.616666667,11.43333333,18.26666667,4.616666667,257,33,15,25.14145387,87,52,60,87,14
40,40,-68.19999695,-32.15000153,543,18.6,34,32,17.3,32.5,27,14.7,29.4,20,9.4,24.3,7,5.4,19.8,3,2.1,16.2,4,1.2,16.4,4,3.4,19.3,2,7,22.8,7,10.9,26.5,11,14.5,30.4,16,17.5,33.1,22,17.77916667,15.225,46.41768293,641.8561802,34,1.2,32.8,25.5,9.766666667,25.5,9.766666667,155,32,2,79.32836981,81,10,81,10,14
41,41,-68.19999695,-32.15000153,543,18.6,34,32,17.3,32.5,27,14.7,29.4,20,9.4,24.3,7,5.4,19.8,3,2.1,16.2,4,1.2,16.4,4,3.4,19.3,2,7,22.8,7,10.9,26.5,11,14.5,30.4,16,17.5,33.1,22,17.77916667,15.225,46.41768293,641.8561802,34,1.2,32.8,25.5,9.766666667,25.5,9.766666667,155,32,2,79.32836981,81,10,81,10,14
42,42,-67.28330231,-32.81669998,474,18.4,34,58,17.3,32.2,49,15.1,29.6,38,9.8,24.4,15,6,20.1,7,3.1,16.4,5,1.9,17.1,7,3.9,19.5,5,7.2,23.2,10,10.9,26.2,24,14.8,30.1,33,17.1,32.4,51,17.94583333,14.975,46.65109034,610.8952385,34,1.9,32.1,25.23333333,10.31666667,25.23333333,10.31666667,302,58,5,78.9961781,158,17,158,17,14
43,43,-67.28330231,-32.81669998,474,18.4,34,58,17.3,32.2,49,15.1,29.6,38,9.8,24.4,15,6,20.1,7,3.1,16.4,5,1.9,17.1,7,3.9,19.5,5,7.2,23.2,10,10.9,26.2,24,14.8,30.1,33,17.1,32.4,51,17.94583333,14.975,46.65109034,610.8952385,34,1.9,32.1,25.23333333,10.31666667,25.23333333,10.31666667,302,58,5,78.9961781,158,17,158,17,12
44,44,-67.28330231,-32.81669998,474,18.4,34,58,17.3,32.2,49,15.1,29.6,38,9.8,24.4,15,6,20.1,7,3.1,16.4,5,1.9,17.1,7,3.9,19.5,5,7.2,23.2,10,10.9,26.2,24,14.8,30.1,33,17.1,32.4,51,17.94583333,14.975,46.65109034,610.8952385,34,1.9,32.1,25.23333333,10.31666667,25.23333333,10.31666667,302,58,5,78.9961781,158,17,158,17,12
45,45,-67.28330231,-32.81669998,474,18.4,34,58,17.3,32.2,49,15.1,29.6,38,9.8,24.4,15,6,20.1,7,3.1,16.4,5,1.9,17.1,7,3.9,19.5,5,7.2,23.2,10,10.9,26.2,24,14.8,30.1,33,17.1,32.4,51,17.94583333,14.975,46.65109034,610.8952385,34,1.9,32.1,25.23333333,10.31666667,25.23333333,10.31666667,302,58,5,78.9961781,158,17,158,17,12
46,46,-67.28330231,-32.81669998,474,18.4,34,58,17.3,32.2,49,15.1,29.6,38,9.8,24.4,15,6,20.1,7,3.1,16.4,5,1.9,17.1,7,3.9,19.5,5,7.2,23.2,10,10.9,26.2,24,14.8,30.1,33,17.1,32.4,51,17.94583333,14.975,46.65109034,610.8952385,34,1.9,32.1,25.23333333,10.31666667,25.23333333,10.31666667,302,58,5,78.9961781,158,17,158,17,12
47,47,-69.10160065,-35.28329849,1343,10.9,28.2,23,10.2,27.6,27,8,24.2,26,3.3,19.8,18,0.4,15.5,17,-2.2,11.8,22,-2.6,11.6,27,-1.7,13.8,23,0.5,16.6,19,3.9,20.2,19,7.2,24.3,22,9.8,27,21,12.0125,16.075,52.19155844,562.82213,28.2,-2.6,30.8,18.18333333,8.1,18.95,5.116666667,264,27,17,15.50550664,76,57,71,72,12
48,48,-69.10160065,-35.28329849,1343,10.9,28.2,23,10.2,27.6,27,8,24.2,26,3.3,19.8,18,0.4,15.5,17,-2.2,11.8,22,-2.6,11.6,27,-1.7,13.8,23,0.5,16.6,19,3.9,20.2,19,7.2,24.3,22,9.8,27,21,12.0125,16.075,52.19155844,562.82213,28.2,-2.6,30.8,18.18333333,8.1,18.95,5.116666667,264,27,17,15.50550664,76,57,71,72,12
49,49,-69.10160065,-35.28329849,1343,10.9,28.2,23,10.2,27.6,27,8,24.2,26,3.3,19.8,18,0.4,15.5,17,-2.2,11.8,22,-2.6,11.6,27,-1.7,13.8,23,0.5,16.6,19,3.9,20.2,19,7.2,24.3,22,9.8,27,21,12.0125,16.075,52.19155844,562.82213,28.2,-2.6,30.8,18.18333333,8.1,18.95,5.116666667,264,27,17,15.50550664,76,57,71,72,12
50,50,-67.33329773,-33.26660156,476,17.5,33.9,54,16.5,32,45,14.4,29.7,37,9,24.2,15,5.2,20,10,2.5,16.1,6,1.2,17,10,3.2,19.2,7,6.2,22.9,11,10.1,25.9,30,14.3,29.9,32,16.4,32.2,50,17.47916667,15.54166667,47.52803262,612.1217137,33.9,1.2,32.7,24.75,9.866666667,24.75,9.866666667,307,54,6,69.83237115,149,23,149,23,12
51,51,-67.33329773,-33.26660156,476,17.5,33.9,54,16.5,32,45,14.4,29.7,37,9,24.2,15,5.2,20,10,2.5,16.1,6,1.2,17,10,3.2,19.2,7,6.2,22.9,11,10.1,25.9,30,14.3,29.9,32,16.4,32.2,50,17.47916667,15.54166667,47.52803262,612.1217137,33.9,1.2,32.7,24.75,9.866666667,24.75,9.866666667,307,54,6,69.83237115,149,23,149,23,12
52,52,-67.33329773,-33.26660156,476,17.5,33.9,54,16.5,32,45,14.4,29.7,37,9,24.2,15,5.2,20,10,2.5,16.1,6,1.2,17,10,3.2,19.2,7,6.2,22.9,11,10.1,25.9,30,14.3,29.9,32,16.4,32.2,50,17.47916667,15.54166667,47.52803262,612.1217137,33.9,1.2,32.7,24.75,9.866666667,24.75,9.866666667,307,54,6,69.83237115,149,23,149,23,12
53,53,-69.96659851,-35.79999924,2005,6.2,23.9,16,5.5,23.1,20,3.5,20.3,22,0.1,16.1,25,-2.1,11.5,62,-4.3,7.4,78,-4.6,7.2,76,-4.2,9.4,59,-3,12.1,36,-0.1,15.8,24,2.4,19.6,22,5.1,22.5,16,8.058333333,15.36666667,53.91812865,509.6158684,23.9,-4.6,28.5,2.516666667,14.38333333,14.38333333,1.816666667,456,78,16,62.64745889,216,52,52,213,12
54,54,-67.96659851,-34.03329849,588,15.8,32.6,47,14.9,31.5,41,12.6,28.6,35,6.7,23.2,16,3.4,18.9,10,0.6,15.1,6,0,16,9,1.4,18.1,9,4.6,21.5,16,8.3,24.4,29,12.5,28.8,30,14.5,30.9,43,16.0375,16.19166667,49.66768916,610.2686629,32.6,0,32.6,23.36666667,8.533333333,23.36666667,8.533333333,291,47,6,61.64600517,131,24,131,24,12
55,55,-69.96659851,-35.79999924,2005,6.2,23.9,16,5.5,23.1,20,3.5,20.3,22,0.1,16.1,25,-2.1,11.5,62,-4.3,7.4,78,-4.6,7.2,76,-4.2,9.4,59,-3,12.1,36,-0.1,15.8,24,2.4,19.6,22,5.1,22.5,16,8.058333333,15.36666667,53.91812865,509.6158684,23.9,-4.6,28.5,2.516666667,14.38333333,14.38333333,1.816666667,456,78,16,62.64745889,216,52,52,213,12
56,56,-69.96669769,-35.79999924,2005,6.2,23.9,16,5.5,23.1,20,3.5,20.3,22,0.1,16.1,25,-2.1,11.5,62,-4.3,7.4,78,-4.6,7.2,76,-4.2,9.4,59,-3,12.1,36,-0.1,15.8,24,2.4,19.6,22,5.1,22.5,16,8.058333333,15.36666667,53.91812865,509.6158684,23.9,-4.6,28.5,2.516666667,14.38333333,14.38333333,1.816666667,456,78,16,62.64745889,216,52,52,213,12
57,57,-69.96659851,-35.79999924,2005,6.2,23.9,16,5.5,23.1,20,3.5,20.3,22,0.1,16.1,25,-2.1,11.5,62,-4.3,7.4,78,-4.6,7.2,76,-4.2,9.4,59,-3,12.1,36,-0.1,15.8,24,2.4,19.6,22,5.1,22.5,16,8.058333333,15.36666667,53.91812865,509.6158684,23.9,-4.6,28.5,2.516666667,14.38333333,14.38333333,1.816666667,456,78,16,62.64745889,216,52,52,213,12
58,58,-69.96659851,-35.79999924,2005,6.2,23.9,16,5.5,23.1,20,3.5,20.3,22,0.1,16.1,25,-2.1,11.5,62,-4.3,7.4,78,-4.6,7.2,76,-4.2,9.4,59,-3,12.1,36,-0.1,15.8,24,2.4,19.6,22,5.1,22.5,16,8.058333333,15.36666667,53.91812865,509.6158684,23.9,-4.6,28.5,2.516666667,14.38333333,14.38333333,1.816666667,456,78,16,62.64745889,216,52,52,213,2
59,59,-69.96669769,-35.79999924,2005,6.2,23.9,16,5.5,23.1,20,3.5,20.3,22,0.1,16.1,25,-2.1,11.5,62,-4.3,7.4,78,-4.6,7.2,76,-4.2,9.4,59,-3,12.1,36,-0.1,15.8,24,2.4,19.6,22,5.1,22.5,16,8.058333333,15.36666667,53.91812865,509.6158684,23.9,-4.6,28.5,2.516666667,14.38333333,14.38333333,1.816666667,456,78,16,62.64745889,216,52,52,213,2
60,60,-68.66660309,-35.01660156,1336,11.2,28.3,34,10.4,27.8,34,8.1,24.4,32,2.9,19.8,20,0.1,15.4,14,-2.7,11.9,14,-2.9,11.9,19,-2.1,14.1,17,0.6,17,21,4,20.2,25,7.6,24.5,30,9.9,27,31,12.05833333,16.26666667,52.13675214,573.8578908,28.3,-2.9,31.2,18.36666667,5.616666667,19.1,5.033333333,291,34,14,31.65652044,100,47,99,50,2
61,61,-68.66660309,-35.01660156,1336,11.2,28.3,34,10.4,27.8,34,8.1,24.4,32,2.9,19.8,20,0.1,15.4,14,-2.7,11.9,14,-2.9,11.9,19,-2.1,14.1,17,0.6,17,21,4,20.2,25,7.6,24.5,30,9.9,27,31,12.05833333,16.26666667,52.13675214,573.8578908,28.3,-2.9,31.2,18.36666667,5.616666667,19.1,5.033333333,291,34,14,31.65652044,100,47,99,50,2
